bandid,bandname,banddescription,bandcover
1,green day,Green Day is an American rock band,https://lh3.googleusercontent.com/TnSI7Aa1h4Cec9EwoNIrlmsNj8AxJFeXxAmTe5UrD8IaNF2--tFQudNDDTOWMs8GVOu6O5qOoiEJ3JkoH1Z40Gg
2,maroon,Maroon 5 is an American pop rock band from Los Angeles,https://pbs.twimg.com/profile_images/1171534523718193152/-cBcnDzM.png
3,coldplay,Coldplay are a British rock band that was formed in London in 1996.,https://specials-images.forbesimg.com/imageserve/5dd72107ea103f0006530660/960x0.jpg?fit=scale
4,aerosmith,"Aerosmith is an American rock band formed in Boston, Massachusetts in 1970.",https://ca-times.brightspotcdn.com/dims4/default/11450d9/2147483647/strip/true/crop/1800x1332+0+0/resize/1486x1100!/quality/90/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2F0a%2F39%2Fd8764039481db05d6779458446d2%2Fla-et-joey-kramer-aerosmith-musicares.jpg
5,imagine dragon,Imagine Dragons is an American pop rock band from La,https://upload.wikimedia.org/wikipedia/commons/7/7a/Imagine-Dragons-press-photo-credit-Eliot-Lee-Hazel-2017-a-billboard-1548.jpg
6,fall out boy,"Fall Out Boy is an American rock band formed in Wilmette,",https://imagesmtv-a.akamaihd.net/uri/mgid:ao:image:mtv.com:234090?height=2103&width=3739&format=jpg&quality=.7
7,one direction,"One Direction, often shortened to 1D, are an English-Irish pop boy band formed in London",https://e3.365dm.com/20/04/768x432/skynews-one-direction-zayn-malik_4966498.jpg?20200410110559
